Pos,Art.-NR,Bezeichnung,,Koll,"Anzahl
Stück","Stück
Price",Rabatt,MwSt,Betrag,Stregkode
1,26180370,DOVGAN Gezuck. Kondensmilcherzeugnis Karamell 370 g a,,5,60,"1,140","0,00%","0,00%","68,40",4032549035850
,,12 DS/Kr,,,,,,,,
2,26099370,"DOVGAN ""sgushenka"" Karamell 370g a 12 PG/Kr",,3,36,"0,930","0,00%","0,00%","33,48",4032549034440
3,26190370,"DOVGAN gezuckerte Kondensmilch, 8,5% Fett 370g a 12 DS/Kr",,2,24,"1,060","0,00%","0,00%","25,44",4032549031678
4,26051000,"DOVGAN gezuckerte Kondensmilch, 8%
Fett 1kg a 6 DS/Kr",,5,30,"2,750","0,00%","0,00%","82,50",4032549030589
5,26109480,"DOVGAN gezuckerte Kondensmilch 8,5%
Fett, 480g a 10 PET/Kr",,5,50,"1,400","0,00%","0,00%","70,00",4032549035874
6,26170330,"8Panda Gezuckerte Kondensmilch 8,5% Fett. 330g a 10 FL/Kr",,3,30,"0,960","0,00%","0,00%","28,80",Ikke fundet
7,26080370,"DOVGAN ""sgushenka"" 370g a 24 DS/Kr",,1,24,"0,850","0,00%","0,00%","20,40",4032549034426
8,28060500,"DOVGAN Hafergebäck mit Rosinen, 500g a 12 Beutel",,2,24,"1,190","0,00%","0,00%","28,56",4032549000452
9,99790500,SOJUS Hafergebäck 500g a  12 Beutel,,1,12,"1,090","0,00%","0,00%","13,08",4260298111772
10,28010500,DOVGAN Kringelgebäck mit Vanillegeschmack 500g a 12 St/Krt,,2,24,"1,130","0,00%","0,00%","27,12",4840008000987
11,28040250,"DOVGAN Mini-Kringelgebäck mit Mohn,
250 g a 20 Beute",,3,60,"0,700","0,00%","0,00%","42,00",4032549003309
12,27010400,"DOVGAN ""Halva"" aus
Sonnenblumenkernen 400g a 16 St/Kr",,1,16,"1,230","0,00%","0,00%","19,68",4840064000105
13,27140200,DOVGAN Family Sonnenblumenhalva 200g a 10 PG/Kr,,1,10,"1,140","0,00%","0,00%","11,40",4032549033115
14,27130200,DOVGAN Family Erdnusshalva 200g a 10 PG/Kr,,1,10,"1,130","0,00%","0,00%","11,30",4032549033092
15,20130200,DOVGAN Bely Medwed Waffelkonfekt mit Mandel-Erdnuss-Creme 200g a 10 PG/Kr,,1,10,"1,060","0,00%","0,00%","10,60",4032549032941
16,20140200,"DOVGAN Racki Erdnusskaramellen 200g
a 12 PG/Kr",,1,12,"0,750","0,00%","0,00%","9,00",4032549032927
17,20150200,"DOVGAN Barbaris Karamellen mit
Berberitzengeschmack 200g a 12 PG/Kr",,1,12,"0,880","0,00%","0,00%","10,56",4032549032897
18,20160200,DOVGAN Krasni Mak Haselnusskonfekt 205g a 11 PG/Kr,,1,11,"1,220","0,00%","0,00%","13,42",4032549032972
19,20170200,DOVGAN Lastochka Kakaokonfekt 205g a 11 PG/Kr,,1,11,"1,200","0,00%","0,00%","13,20",4032549032996
20,20180200,DOVGAN Griliage Erdnusskonfekt 200g a 11 PG/Kr,,1,11,"1,200","0,00%","0,00%","13,20",4032549033016
21,20110168,"DOVGAN Family Zefir Vanillegeschmack
168g a 10 PG/Kr",,4,40,"0,920","0,00%","0,00%","36,80",4032549032767
22,20120168,"DOVGAN Family Zefir
Erdbeeregeschmack 168g a 10 PG/Kr",,7,70,"0,920","0,00%","0,00%","64,40",4032549032873
23,28209200,"DOVGAN ""Pionier"" Waffeln mit Kakaofüllung, 200g a 10 St/Kr",,3,30,"0,810","0,00%","0,00%","24,30",4032549006195
24,27070045,DOVGAN Waffelröllchen mit Karamellcremefüllung 45g a 30 PG/Kr,,1,30,"0,400","0,00%","0,00%","12,00",4032549030527
25,20210045,DOVGAN Waffelröllchen mit Marshmallowfüllung 45g a 30 PG/Kr,,1,30,"0,400","0,00%","0,00%","12,00",4032549032781
26,23630050,DOVGAN Junior Zuckerwatte BubbleGum im Eimer 50 g a 6 PG/Kr,,5,30,"0,690","0,00%","0,00%","20,70",4032549037656
27,27030220,"Oma's Waffelschnitten mit
Kakaocremefüllung 220g a 6 PG/Kr",,2,12,"1,310","0,00%","0,00%","15,72",4032549028111
28,27029220,"DOVGAN Oma‘s  Waffelschnitten mit
Karamell-Creme-Füllung 220g a 6 PG/Kr",,3,18,"1,310","0,00%","0,00%","23,58",4032549022775
29,21740400,VESELKA Prjanyky Gebäck mit Aprikosenfüllung 400g  a 10 PG/Kr,,2,20,"0,970","0,00%","0,00%","19,40",Ikke fundet
30,24320250,"Nascha Mascha Waffelschnitten mit Milchgeschmack in Überzug,",,4,32,"1,220","0,00%","0,00%","39,04",4032549016828
,,"Familienpackung, 250g a 8 St/Kr",,,,,,,,
31,24330250,"Nascha Mascha Waffelschnitten mit Kakaogeschmack in Überzug,",,4,32,"1,220","0,00%","0,00%","39,04",4032549016842
,,"Familienpackung, 250g a 8 St/Kr",,,,,,,,
32,24350150,"Nascha Mascha Waffelschnitten mit
Kakaogeschmack ohne Überzug, 150g a",,3,42,"0,670","0,00%","0,00%","28,14",4032549016880
,,14 St/Kr,,,,,,,,
33,23610020,"DOVGAN junior Zuckerwatte BubbleGum
20g a 12 PG/Kr",,1,12,"0,280","0,00%","0,00%","3,36",4032549025967
34,23240250,Plombir Toffees 250g a 10 St/Kr,,1,10,"0,950","0,00%","0,00%","9,50",Ikke fundet
35,98170400,"""Plombir"" Milchtoffees, 400 g a 10St./Krt",,1,10,"1,380","0,00%","0,00%","13,80",4032549001480
36,23250400,Plombir Toffees Schoko 400g a 10 PG/Kr,,1,10,"1,410","0,00%","0,00%","14,10",4032549029125
37,27150050,Semki Kosinaki mit Sonnenblumenkernen 50g a 17 PG/Kr,,1,17,"0,380","0,00%","0,00%","6,46",4032549033139
38,99050300,Jolki Halva Sonnenblumenkernen 300g a 11 PG/Kr,,1,11,"1,130","0,00%","0,00%","12,43",4260298112090
39,98520130,Sojus Sesamkrokant-Riegel 130g a 18 PG/Kr,,3,54,"0,870","0,00%","0,00%","46,98",4260298111635
40,28030250,"VESELKA Mini-Kringelgebäck mit
Vanillegeschmack in Zuckerglasur, 250g",,1,20,"0,590","0,00%","0,00%","11,80",Ikke fundet
,,a 20 PG/Kr,,,,,,,,
41,98730300,"SOJUS Kringelgebäck ""Manuschka"" mit Mohn 300g a 12 St",,3,36,"0,970","0,00%","0,00%","34,92",4840008037785
42,28430250,"VESELKA Rosinengebäck 250g a 10
PG/Kr",,3,30,"0,750","0,00%","0,00%","22,50",4032549039933
43,21750400,VESELKA Prjanyky Gebäck mit Kirschfüllung 400g a 10 PG/Kr,,3,30,"0,970","0,00%","0,00%","29,10",Ikke fundet
44,28130160,Plombir Kekse mit Schokoladengeschmack 160g a 21 PG/Kr,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
45,28450250,VESELKA Zoo Kekse 250 g a 10 PG/Kr,,2,20,"0,770","0,00%","0,00%","15,40",4032549039971
46,28120160,Plombir Kekse mit Kondensmilchgeschmack 160g a 21,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
,,PG/Kr,,,,,,,,
47,28140160,"Plombir Kekse mit Karamellgeschmack
160g a 21 PG/Kr",,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
48,28150160,Plombir Original Kekse mit Vanillegeschmack 160g a 21 PG/Kr,,1,21,"0,450","0,00%","0,00%","9,45",Ikke fundet
49,32020160,DOVGAN Riga Sprotten in Öl 160g a 36 Dosen,,1,36,"0,990","0,00%","0,00%","35,64",4032549002968
50,32300100,"DOVGAN Kieler Sprotten in Öl, 100 g a 10 St/Krt",,1,10,"0,840","0,00%","0,00%","8,40",4032549010468
51,32530250,"DOVGAN Memel Sprotten geräuchert, in
Rapsöl, 250g a 24 Glas/Kr",,1,24,"1,540","0,00%","0,00%","36,96",4032549007307
52,32900170,"DOVGAN Gourmet
Schwimmkrabbenfleisch in Aufguss, 170g",,2,24,"2,560","0,00%","0,00%","61,44",4032549009264
,,a 12 Dosen,,,,,,,,
53,43220300,"DOVGAN Family Salatmayonnaise mit
72% Fett 310ml a 24 PG/Kr",,1,24,"0,760","0,00%","0,00%","18,24",4032549036444
54,46820300,"Olympia Mustar Senfcreme 314ml/300g a
6 PG/Kr",,2,12,"0,830","0,00%","0,00%","9,96",5941466002571
55,46830750,Olympia Bors saure Suppenwürze 750ml a 6 PG/Kr,,4,24,"1,100","0,00%","0,00%","26,40",5941466014765
56,46679300,La minut Mustar de masa Senf 300g a 8 GL/Kr,,1,8,"0,800","0,00%","0,00%","6,40",5941486004142
57,41830315,VESELKA Salatmayonnaise 67% Fett 315ml a 8 PG/Kr,,2,16,"0,890","0,00%","0,00%","14,24",4032549041059
58,33030720,Cmak Malosolgurken 660g a 12 Gl/Kr,,5,60,"1,150","0,00%","0,00%","69,00",4032549002876
59,33060720,Cmak Salzdillgurken 660 g a 12 GL/Kr,,2,24,"1,180","0,00%","0,00%","28,32",4032549002029
60,33050670,"Cmak Scharfe Pfeffergurken 670 g a 12
GL/Kr",,1,12,"1,460","0,00%","0,00%","17,52",Ikke fundet
61,41010580,Cmak Salat nach Moldawischer Art 560 g a 12 GL/Kr,,1,12,"1,590","0,00%","0,00%","19,08",4032549002326
62,99820900,SOJUS Sauerkraut 900 g a 8 St,,3,24,"1,490","0,00%","0,00%","35,76",4770583205395
63,33400300,8 Panda Kimchi scharf 300 g a 6 GL/Kr,,1,6,"1,630","0,00%","0,00%","9,78",Ikke fundet
64,51031000,DOVGAN Hirse 1 kg a 10 PG/Kr,,3,30,"1,320","0,00%","0,00%","39,60",4032549002470
65,52030300,"""CMAK"" Sonnenblumenkerne, geröstet und gesalzen 300g a 20 BT/Kr",,5,100,"1,120","0,00%","0,00%","112,00",4032549004276
66,52340300,"SEMKI XXL Sonnenblumenkerne 300g a
18 PG/Kr",,5,90,"1,120","0,00%","0,00%","100,80",Ikke fundet
67,52330500,"Bazarnye XXL Sonnenblumenkerne,
geröstet 500g a 12 PG/Kr",,2,24,"2,040","0,00%","0,00%","48,96",4770266187260
68,46401000,"Boromir Boromir Malai Extra Maisgrieß, 1000 g a 10 St/Kr",,5,50,"1,160","0,00%","0,00%","58,00",5941300000800
69,29000030,DOVGAN Junior Süße Maisstäbchen mit Puderzucker 30g a 20 PG/Kr,,1,20,"0,230","0,00%","0,00%","4,60",4032549040328
70,32339160,DOVGAN Riga Sprotten in Rapsöl 160g mit transparentem Deckel a 12 DS/Kr,,3,36,"1,150","0,00%","0,00%","41,40",4032549020429
